supplier_id,supplier_name,city,contact_name,contact_email,contact_phone,rating
1,Prime Traders Industries,Surat,Sai Singh,sai.singh376@hotmail.com,8388853933,1.9
2,Sunrise Traders Pvt Ltd,Jaipur,Priya Singh,priya.singh710@yahoo.com,8755131373,3.5
3,Bharat Mart & Co,Bengaluru,Ayaan Chopra,ayaan.chopra490@yahoo.com,9516761222,4.6
4,Om Mart & Co,Ahmedabad,Shreya Desai,shreya.desai22@yahoo.com,7826330434,3.3
5,Silver Enterprises Pvt Ltd,Kanpur,Ramesh Kapoor,ramesh.kapoor431@hotmail.com,9282880729,1.6
7,Prime Industries & Co,Bhopal,Pooja Desai,pooja.desai520@rediffmail.com,8483726167,2.0
8,National Distributors LLP,Kanpur,Ishaan Singh,ishaan.singh991@yahoo.com,8672326865,2.3
9,Bharat Supplies Industries,Bhopal,Suresh Sharma,suresh.sharma340@rediffmail.com,9811311440,1.5
10,National Impex LLP,Ludhiana,Pooja Kapoor,pooja.kapoor718@rediffmail.com,7026140141,1.3
11,Golden Traders & Co,Ludhiana,Deepak Singh,deepak.singh133@hotmail.com,9124023448,3.0
12,Sunrise Traders & Co,Delhi,Aarav Sharma,aarav.sharma565@hotmail.com,8737167868,4.9
13,Om Impex & Co,Delhi,Krishna Sharma,krishna.sharma641@gmail.com,7620168493,2.8
14,Golden Traders & Co,Kanpur,Karan Desai,karan.desai251@outlook.com,7352056174,2.0
15,Shree Wholesale Pvt Ltd,Ahmedabad,Sanjay Kapoor,sanjay.kapoor404@gmail.com,9319829657,3.5
16,Prime Impex Industries,Ahmedabad,Sneha Joshi,sneha.joshi855@hotmail.com,8931002516,3.5
17,Royal Mart & Co,Mumbai,Ramesh Gupta,ramesh.gupta920@hotmail.com,8174143337,1.3
18,National Traders Industries,Kolkata,Arjun Bhatt,arjun.bhatt340@yahoo.com,7992070741,3.0
19,National Mart Group,Bhopal,Ayaan Desai,ayaan.desai320@yahoo.com,9047187463,1.4
20,National Supplies LLP,Nashik,Pooja Singh,pooja.singh721@gmail.com,7760207764,2.4
21,Sunrise Traders & Co,Lucknow,Sanjay Iyer,sanjay.iyer731@yahoo.com,8451669156,2.1
22,National Enterprises LLP,Jaipur,Manish Joshi,manish.joshi195@outlook.com,7068831067,3.6
23,Bharat Enterprises LLP,Patna,Deepak Agarwal,deepak.agarwal305@outlook.com,9634786122,4.6
24,Royal Mart & Co,Bhopal,Manish Nair,manish.nair198@hotmail.com,9581535493,2.7
25,Prime Industries Group,Jaipur,Karan Verma,karan.verma285@rediffmail.com,7288314366,4.8
26,Bharat Enterprises Pvt Ltd,Indore,Priya Kapoor,priya.kapoor1@rediffmail.com,7773132281,4.4
27,Shree Traders Pvt Ltd,Ahmedabad,Anika Kapoor,anika.kapoor661@gmail.com,9486111489,1.9
28,Bharat Wholesale Group,Jaipur,Rohan Mehta,rohan.mehta539@rediffmail.com,8064003761,2.7
29,Golden Traders & Co,Indore,Rahul Chopra,rahul.chopra7@yahoo.com,8137343373,2.2
30,Golden Enterprises LLP,Patna,Deepak Verma,deepak.verma150@hotmail.com,8309260026,4.5
31,Shree Enterprises & Co,Kolkata,Diya Joshi,diya.joshi33@rediffmail.com,8557210141,4.5
32,Royal Impex & Co,Surat,Manish Gupta,manish.gupta723@gmail.com,7873557063,1.2
33,Shree Traders & Co,Kolkata,Arjun Bhatt,arjun.bhatt372@outlook.com,9045440910,3.9
34,Silver Wholesale Group,Patna,Krishna Pillai,krishna.pillai9@yahoo.com,7293557591,4.0
35,Shree Traders Group,Ludhiana,Divya Agarwal,divya.agarwal437@yahoo.com,9491316772,2.8
36,Royal Distributors & Co,Surat,Riya Kapoor,riya.kapoor382@outlook.com,9373233249,2.6
37,Prime Industries Pvt Ltd,Bhopal,Aditya Iyer,aditya.iyer487@gmail.com,7750431039,1.3
39,Sunrise Enterprises Industries,Surat,Arjun Patel,arjun.patel815@gmail.com,8161682812,2.6
40,National Impex Pvt Ltd,Surat,Kritika Bansal,kritika.bansal427@rediffmail.com,9366306261,4.5
41,Om Enterprises Pvt Ltd,Delhi,Shreya Nair,shreya.nair92@rediffmail.com,9822542821,4.0
42,Royal Wholesale LLP,Delhi,Priya Agarwal,priya.agarwal623@gmail.com,9192396937,1.2
43,Om Impex & Co,Hyderabad,Ishaan Mehta,ishaan.mehta43@yahoo.com,7516978464,2.6
44,Prime Mart LLP,Mumbai,Aarav Bhatt,aarav.bhatt477@rediffmail.com,8727611256,2.8
45,Bharat Traders LLP,Bengaluru,Rohan Joshi,rohan.joshi56@gmail.com,9201913274,3.9
